epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,15886.9,0.65158,0.50582,0.97218,0.86339,0.8691,0.88908,0.73276,0.5887,0.58438,0.95433,0.000391546,0.000391546,0.000391546
112,16031.1,0.65488,0.50428,0.9676,0.86626,0.85894,0.89326,0.73417,0.55356,0.56603,0.94934,0.000382115,0.000382115,0.000382115
113,16175.5,0.64773,0.49959,0.96929,0.90387,0.85541,0.8834,0.73378,0.5606,0.56541,0.95345,0.000372683,0.000372683,0.000372683
114,16319.8,0.62527,0.47188,0.95556,0.8885,0.85027,0.88941,0.73832,0.56088,0.56995,0.94751,0.000363252,0.000363252,0.000363252
115,16464.1,0.64751,0.48364,0.95644,0.84658,0.85294,0.87347,0.72952,0.57015,0.64369,0.96836,0.00035382,0.00035382,0.00035382
116,16608.3,0.64604,0.46886,0.95617,0.84936,0.86457,0.88677,0.74197,0.56784,0.59176,0.95291,0.000344389,0.000344389,0.000344389
117,16752.6,0.63352,0.47058,0.94542,0.90228,0.85275,0.89129,0.7433,0.5753,0.58376,0.9627,0.000334958,0.000334958,0.000334958
118,16897.2,0.62525,0.47892,0.95549,0.91026,0.86241,0.88743,0.73548,0.5585,0.59025,0.93858,0.000325526,0.000325526,0.000325526
119,17041.3,0.64406,0.46562,0.95507,0.87817,0.8723,0.88391,0.74366,0.54668,0.59785,0.94191,0.000316095,0.000316095,0.000316095
120,17186.9,0.67476,0.51225,0.97774,0.87764,0.85524,0.87921,0.74029,0.5444,0.56874,0.94067,0.000306663,0.000306663,0.000306663
121,17331.3,0.65745,0.46392,0.96051,0.89362,0.86805,0.88841,0.75249,0.52787,0.54646,0.92919,0.000297232,0.000297232,0.000297232
122,17475.7,0.6288,0.4599,0.96118,0.86658,0.8796,0.86099,0.72283,0.57707,0.60016,0.9473,0.000287801,0.000287801,0.000287801
123,17620.1,0.64521,0.45882,0.95942,0.90015,0.84276,0.86059,0.72517,0.55421,0.60938,0.94838,0.000278369,0.000278369,0.000278369
124,17764.3,0.6641,0.49265,0.97368,0.86684,0.85916,0.85805,0.7166,0.5715,0.62615,0.97539,0.000268938,0.000268938,0.000268938
125,17908.5,0.63666,0.45817,0.96199,0.88275,0.86215,0.88522,0.74006,0.55723,0.5858,0.95079,0.000259506,0.000259506,0.000259506
